symbol,time,open,high,low,close,volume,date,average_sentiment_score,log_sentiment_score
AAPL,2024-08-30 00:00:00-04:00,230.23,230.38,227.5,228.88,732245,2024-09-02 17:23:59.944636,0.9802317704473223,-0.0199662348228924
MSFT,2024-08-05 00:00:00-04:00,389.18,400.82,385.6,395.39,895565,2024-08-05 00:00:00.000000,0.9382447096017692,-0.0637444795634855
MSFT,2024-08-06 00:00:00-04:00,399.82,405.63,398.96,399.42,415695,2024-08-06 00:00:00.000000,0.9489828456531872,-0.0523645567703732
MSFT,2024-08-07 00:00:00-04:00,408.635,410.025,397.5,398.59,327772,2024-08-07 00:00:00.000000,0.9852078974246978,-0.0149025967054609
MSFT,2024-08-08 00:00:00-04:00,402.6,405.66,400.28,403.02,247884,2024-08-08 00:00:00.000000,0.931423300788516,-0.0710414317953981
MSFT,2024-08-09 00:00:00-04:00,404.02,407.88,402.4,406.01,183020,2024-08-09 00:00:00.000000,0.9744518995285034,-0.025880120382017
MSFT,2024-08-12 00:00:00-04:00,407.415,408.7,404.455,406.95,154876,2024-08-12 00:00:00.000000,0.9011905193328856,-0.1040385905272247
MSFT,2024-08-13 00:00:00-04:00,409.61,414.88,409.61,413.78,247042,2024-08-13 00:00:00.000000,0.985811734199524,-0.0142898815563789
MSFT,2024-08-14 00:00:00-04:00,415.19,417.69,412.565,416.655,231308,2024-08-14 00:00:00.000000,0.967071364323298,-0.0334829865380523
MSFT,2024-08-15 00:00:00-04:00,419.61,421.085,417.69,420.87,320490,2024-08-15 00:00:00.000000,0.9746342301368712,-0.0256930269476893
MSFT,2024-08-16 00:00:00-04:00,420.775,420.945,417.33,418.5,192582,2024-08-16 00:00:00.000000,0.9610116124153136,-0.0397687864060652
MSFT,2024-08-19 00:00:00-04:00,419.08,421.56,416.48,421.45,211362,2024-08-19 00:00:00.000000,0.9764144817988076,-0.0238681087433269
MSFT,2024-08-20 00:00:00-04:00,421.88,425.83,421.7,424.87,439801,2024-08-20 00:00:00.000000,0.9909690767526628,-0.0090719492231008
MSFT,2024-08-21 00:00:00-04:00,424.075,426.385,421.83,424.0,224468,2024-08-21 00:00:00.000000,0.9881942783083234,-0.0118759626010895
MSFT,2024-08-22 00:00:00-04:00,424.31,426.74,414.65,415.74,412381,2024-08-22 00:00:00.000000,0.9793573121229808,-0.020858726407138
MSFT,2024-08-23 00:00:00-04:00,417.02,419.25,412.17,416.58,308771,2024-08-23 00:00:00.000000,0.9725231379270554,-0.0278614115596555
MSFT,2024-08-26 00:00:00-04:00,416.69,417.19,411.365,413.59,260568,2024-08-26 00:00:00.000000,0.992312240600586,-0.0077174625534366
MSFT,2024-08-27 00:00:00-04:00,412.94,414.205,410.32,413.79,288310,2024-08-27 00:00:00.000000,0.9526852071285248,-0.0484707477033523
MSFT,2024-08-28 00:00:00-04:00,414.575,414.585,407.34,410.58,335012,2024-08-28 00:00:00.000000,0.9783282935619354,-0.0219099867860521
MSFT,2024-08-29 00:00:00-04:00,414.72,422.01,412.02,413.015,416314,2024-08-29 00:00:00.000000,0.9832064764840264,-0.0169361336038925
MSFT,2024-08-30 00:00:00-04:00,415.31,417.37,412.185,416.99,365487,2024-08-30 00:00:00.000000,0.973348583493914,-0.0270130045374614
AMZN,2024-08-05 00:00:00-04:00,154.2,162.94,151.62,161.06,1980844,2024-08-05 00:00:00.000000,0.9845314158333672,-0.0155894709668153
AMZN,2024-08-06 00:00:00-04:00,161.74,165.015,158.63,161.915,950567,2024-08-06 00:00:00.000000,0.9282599613070488,-0.0744434547064176
AMZN,2024-08-07 00:00:00-04:00,166.66,167.55,161.45,162.75,1007962,2024-08-07 00:00:00.000000,0.9818824198510911,-0.0182837131823789
AMZN,2024-08-08 00:00:00-04:00,165.165,166.66,162.57,165.74,735973,2024-08-08 00:00:00.000000,0.943336308002472,-0.0583324236584243
AMZN,2024-08-09 00:00:00-04:00,166.58,168.52,166.16,166.96,566208,2024-08-09 00:00:00.000000,0.981464061472151,-0.0187098818584141
AMZN,2024-08-12 00:00:00-04:00,168.16,168.54,166.13,166.845,465432,2024-08-12 00:00:00.000000,0.9179229736328124,-0.0856417986000813
AMZN,2024-08-13 00:00:00-04:00,167.83,171.03,167.11,170.2,667298,2024-08-13 00:00:00.000000,0.9990176955858866,-0.0009827871912763
AMZN,2024-08-14 00:00:00-04:00,172.06,172.26,168.9,170.03,485481,2024-08-14 00:00:00.000000,0.9831895679235458,-0.0169533311166
AMZN,2024-08-15 00:00:00-04:00,174.945,177.89,174.0,177.59,1112465,2024-08-15 00:00:00.000000,0.9659076273441316,-0.0346870732092312
AMZN,2024-08-16 00:00:00-04:00,176.9,178.33,176.275,177.04,610107,2024-08-16 00:00:00.000000,0.9254125194116072,-0.0775156739519409
AMZN,2024-08-19 00:00:00-04:00,177.61,178.27,176.19,178.14,661576,2024-08-19 00:00:00.000000,0.9884567161401112,-0.0116104247453253
AMZN,2024-08-20 00:00:00-04:00,178.01,179.01,177.47,178.9,600135,2024-08-20 00:00:00.000000,0.9660294850667318,-0.0345609223920238
AMZN,2024-08-21 00:00:00-04:00,179.96,182.33,178.9,180.04,819931,2024-08-21 00:00:00.000000,0.8433289229869843,-0.170398215602058
AMZN,2024-08-22 00:00:00-04:00,181.38,181.38,175.7,176.22,627628,2024-08-22 00:00:00.000000,0.9756067948681968,-0.0246956478550762
AMZN,2024-08-23 00:00:00-04:00,177.325,178.96,175.25,177.08,588842,2024-08-23 00:00:00.000000,0.9743609428405762,-0.0259734661215522
AMZN,2024-08-26 00:00:00-04:00,176.74,177.45,174.32,175.51,542867,2024-08-26 00:00:00.000000,0.9904203116893768,-0.0096258686904384
AMZN,2024-08-27 00:00:00-04:00,174.14,174.76,172.25,173.11,779077,2024-08-27 00:00:00.000000,0.9299412767092388,-0.0726338381518583
AMZN,2024-08-28 00:00:00-04:00,173.68,173.68,168.96,170.82,757868,2024-08-28 00:00:00.000000,0.9597490976254144,-0.041083385320047
AMZN,2024-08-29 00:00:00-04:00,173.25,174.27,170.81,172.19,604415,2024-08-29 00:00:00.000000,0.8945831060409546,-0.1113974725335383
AMZN,2024-08-30 00:00:00-04:00,172.72,178.89,172.61,178.53,1333257,2024-08-30 00:00:00.000000,0.9941704034805298,-0.005846654945394
NVDA,2024-08-05 00:00:00-04:00,92.09,103.39,90.735,100.64,6339472,2024-08-05 00:00:00.000000,0.974373107155164,-0.025960981796574
NVDA,2024-08-06 00:00:00-04:00,103.845,107.65,100.57,104.0,3547880,2024-08-06 00:00:00.000000,0.9818664133548736,-0.0183000151614784
NVDA,2024-08-07 00:00:00-04:00,107.84,108.72,98.7,98.85,3998714,2024-08-07 00:00:00.000000,0.9600203235944113,-0.0408008243335
NVDA,2024-08-08 00:00:00-04:00,102.0,105.5,97.53,104.97,3082788,2024-08-08 00:00:00.000000,0.9455922979574936,-0.0559437775014894
NVDA,2024-08-09 00:00:00-04:00,105.61,106.58,103.5,104.72,1478851,2024-08-09 00:00:00.000000,0.9843082560433282,-0.015816162651448
NVDA,2024-08-12 00:00:00-04:00,106.33,111.04,106.28,109.06,2276801,2024-08-12 00:00:00.000000,0.9379400968551636,-0.0640691946429742
NVDA,2024-08-13 00:00:00-04:00,112.43,116.22,111.58,116.12,1826356,2024-08-13 00:00:00.000000,0.9921477772295476,-0.0078832138106424
NVDA,2024-08-14 00:00:00-04:00,118.51,118.59,114.09,117.97,2530749,2024-08-14 00:00:00.000000,0.943268044789632,-0.0584047898784732
NVDA,2024-08-15 00:00:00-04:00,118.945,123.23,117.5,122.9,2329110,2024-08-15 00:00:00.000000,0.943988823890686,-0.0576409520055685
NVDA,2024-08-16 00:00:00-04:00,121.92,125.0,121.18,124.55,1968614,2024-08-16 00:00:00.000000,0.953556133641137,-0.0475569845249083
NVDA,2024-08-19 00:00:00-04:00,124.3,130.0,123.44,130.0,2133443,2024-08-19 00:00:00.000000,0.9239432594992898,-0.0791046166942697
NVDA,2024-08-20 00:00:00-04:00,128.4,129.86,125.89,127.26,2296913,2024-08-20 00:00:00.000000,0.9692406415939332,-0.0312423577844607
NVDA,2024-08-21 00:00:00-04:00,127.33,129.34,126.66,128.4,2040350,2024-08-21 00:00:00.000000,0.9654201984405516,-0.0351918336206138
NVDA,2024-08-22 00:00:00-04:00,130.04,130.74,123.1,123.84,2853378,2024-08-22 00:00:00.000000,0.9872687567364086,-0.012812980022538
NVDA,2024-08-23 00:00:00-04:00,125.86,129.59,125.245,129.28,2104926,2024-08-23 00:00:00.000000,0.9816829363505044,-0.018486898169976
NVDA,2024-08-26 00:00:00-04:00,129.56,131.25,124.4,126.45,2670055,2024-08-26 00:00:00.000000,0.9715846636716056,-0.0288268665900547
NVDA,2024-08-27 00:00:00-04:00,125.06,129.19,123.905,128.27,2696916,2024-08-27 00:00:00.000000,0.960631549358368,-0.0401643469028961
NVDA,2024-08-28 00:00:00-04:00,128.08,128.3,122.66,125.57,3785691,2024-08-28 00:00:00.000000,0.9596294124921164,-0.0412080977025421
NVDA,2024-08-29 00:00:00-04:00,121.0,124.4,116.76,117.6,4192572,2024-08-29 00:00:00.000000,0.9748208920160928,-0.0255015253556076
NVDA,2024-08-30 00:00:00-04:00,119.52,121.74,117.23,119.46,2693047,2024-08-30 00:00:00.000000,0.9358236883815966,-0.0663281873615368
GOOGL,2024-08-05 00:00:00-04:00,155.14,164.35,155.0,159.28,1117668,2024-08-05 00:00:00.000000,0.8613245785236359,-0.1492838670521553
GOOGL,2024-08-06 00:00:00-04:00,159.2,160.56,156.45,158.24,1276989,2024-08-06 00:00:00.000000,0.9554213583469392,-0.0456028228784783
GOOGL,2024-08-07 00:00:00-04:00,161.25,162.95,158.51,158.98,528391,2024-08-07 00:00:00.000000,0.999946137269338,-5.3864181310959015e-05
GOOGL,2024-08-08 00:00:00-04:00,160.64,163.68,160.245,162.12,601650,2024-08-08 00:00:00.000000,0.9549297094345092,-0.0461175438965951
GOOGL,2024-08-09 00:00:00-04:00,159.965,163.78,159.06,163.62,715972,2024-08-09 00:00:00.000000,0.9922224700450896,-0.0078079326823549
GOOGL,2024-08-12 00:00:00-04:00,164.47,164.885,161.85,162.28,237624,2024-08-12 00:00:00.000000,0.9651797088709744,-0.0354409681719108
GOOGL,2024-08-13 00:00:00-04:00,163.41,164.68,163.0,164.14,246958,2024-08-13 00:00:00.000000,0.9638976454734802,-0.036770166903487
GOOGL,2024-08-14 00:00:00-04:00,162.4,163.185,157.715,160.32,1195942,2024-08-14 00:00:00.000000,0.9936040222644806,-0.00641651963833
GOOGL,2024-08-15 00:00:00-04:00,160.71,161.63,159.645,161.25,643187,2024-08-15 00:00:00.000000,0.9903786132733028,-0.0096679713143391
GOOGL,2024-08-16 00:00:00-04:00,161.46,165.04,161.17,163.0,436122,2024-08-16 00:00:00.000000,0.9410766263802848,-0.0607307119147378
GOOGL,2024-08-19 00:00:00-04:00,165.21,166.66,164.29,166.62,331891,2024-08-19 00:00:00.000000,0.9882296721140544,-0.0118401465953918
GOOGL,2024-08-20 00:00:00-04:00,166.87,168.635,166.85,167.2,421991,2024-08-20 00:00:00.000000,0.8698740502198538,-0.1394068476759127
GOOGL,2024-08-21 00:00:00-04:00,165.02,166.84,164.775,165.8,435151,2024-08-21 00:00:00.000000,0.9985426545143128,-0.0014584084464791
GOOGL,2024-08-22 00:00:00-04:00,167.14,167.53,163.31,163.85,381986,2024-08-22 00:00:00.000000,0.9958228021860124,-0.0041859466770975
GOOGL,2024-08-23 00:00:00-04:00,164.72,166.16,163.89,165.56,318781,2024-08-23 00:00:00.000000,0.973142902056376,-0.0272243401018142
GOOGL,2024-08-26 00:00:00-04:00,166.63,167.515,164.51,166.21,212342,2024-08-26 00:00:00.000000,0.9999369382858276,-6.30637026458586e-05
GOOGL,2024-08-27 00:00:00-04:00,165.995,166.415,164.46,164.66,221004,2024-08-27 00:00:00.000000,0.8255471825599671,-0.1917088609137445
GOOGL,2024-08-28 00:00:00-04:00,165.035,165.57,161.56,162.86,503278,2024-08-28 00:00:00.000000,0.9331227966717311,-0.069218471927391
GOOGL,2024-08-29 00:00:00-04:00,164.33,165.95,160.27,161.77,531972,2024-08-29 00:00:00.000000,0.9454640984535218,-0.0560793625685573
GOOGL,2024-08-30 00:00:00-04:00,162.56,163.59,161.705,163.3,647580,2024-08-30 00:00:00.000000,0.9915364725249154,-0.0084995464997374
GOOG,2024-08-05 00:00:00-04:00,157.11,165.84,156.78,160.84,563715,2024-08-05 00:00:00.000000,0.8540175027317471,-0.157803590401541
GOOG,2024-08-06 00:00:00-04:00,160.93,162.33,158.17,160.44,482268,2024-08-06 00:00:00.000000,0.9711585342884064,-0.0292655549256831
GOOG,2024-08-07 00:00:00-04:00,163.27,164.76,160.325,160.83,341512,2024-08-07 00:00:00.000000,0.9999910295009612,-8.97053927386341e-06
GOOG,2024-08-08 00:00:00-04:00,162.67,165.43,162.13,163.87,284779,2024-08-08 00:00:00.000000,0.9472133765618006,-0.0542308927373745
GOOG,2024-08-09 00:00:00-04:00,161.75,165.515,160.95,165.39,413592,2024-08-09 00:00:00.000000,0.9814680218696594,-0.0187058466729464
GOOG,2024-08-12 00:00:00-04:00,166.5,166.68,163.56,163.96,165168,2024-08-12 00:00:00.000000,0.9940981924533844,-0.0059192920401254
GOOG,2024-08-13 00:00:00-04:00,165.58,166.42,164.84,165.93,136430,2024-08-13 00:00:00.000000,0.9820566815989358,-0.018106251724258
GOOG,2024-08-14 00:00:00-04:00,164.22,164.95,159.55,162.0,429591,2024-08-14 00:00:00.000000,0.9920326918363572,-0.0079992167600854
GOOG,2024-08-15 00:00:00-04:00,162.29,163.49,161.5,163.08,266832,2024-08-15 00:00:00.000000,0.9777369846900305,-0.0225145769257484
GOOG,2024-08-16 00:00:00-04:00,163.41,166.9,163.33,164.78,204885,2024-08-16 00:00:00.000000,0.9952930013338724,-0.0047181114700307
GOOG,2024-08-19 00:00:00-04:00,166.91,168.43,166.11,168.4,165955,2024-08-19 00:00:00.000000,0.9882128039995828,-0.0118572157635317
GOOG,2024-08-20 00:00:00-04:00,168.71,170.37,168.71,168.97,188323,2024-08-20 00:00:00.000000,0.9313762273107256,-0.0710919723684338
GOOG,2024-08-21 00:00:00-04:00,166.82,168.63,166.57,167.56,213293,2024-08-21 00:00:00.000000,0.9986875397818428,-0.0013133222484053
GOOG,2024-08-22 00:00:00-04:00,169.38,169.38,165.06,165.57,213561,2024-08-22 00:00:00.000000,0.9746154427528382,-0.025712303476802
GOOG,2024-08-23 00:00:00-04:00,166.71,167.94,165.75,167.46,126277,2024-08-23 00:00:00.000000,0.9476700127124786,-0.0537489251797905
GOOG,2024-08-26 00:00:00-04:00,168.46,169.34,166.335,167.99,134474,2024-08-26 00:00:00.000000,0.990780621767044,-0.0092621397262984
GOOG,2024-08-27 00:00:00-04:00,168.055,168.22,166.16,166.32,224936,2024-08-27 00:00:00.000000,0.8562676683068275,-0.1551722550996681
GOOG,2024-08-28 00:00:00-04:00,166.99,167.385,163.32,164.53,236292,2024-08-28 00:00:00.000000,0.9374951209340776,-0.0645437254880975
GOOG,2024-08-29 00:00:00-04:00,166.19,167.625,162.0,163.395,338330,2024-08-29 00:00:00.000000,0.9318308085203172,-0.0706040166985924
GOOG,2024-08-30 00:00:00-04:00,164.475,165.245,163.41,165.02,511578,2024-08-30 00:00:00.000000,0.9915364725249154,-0.0084995464997374
TSLA,2024-08-05 00:00:00-04:00,185.08,203.85,182.01,198.96,1072240,2024-08-05 00:00:00.000000,0.9579784035682678,-0.042930044513534
